Time,Target,Actual,Velocity,Current
0.0045528411865234375,63827.56568422093,63827.05078125,0.0,0.06436287136602914
0.0069179534912109375,63827.83314393803,63827.05078125,0.0,0.09779533600340073
0.009113311767578125,63828.08138241354,63827.05078125,0.0,0.12882514544253354
0.011330604553222656,63828.332069245036,63827.05078125,0.0,0.16016099937951367
0.01370549201965332,63828.60052937354,63827.05078125,0.0,0.1937185154429244
0.016093969345092773,63828.87047001182,63827.05078125,0.0,0.2274610952272269
0.01848149299621582,63829.140237336505,63827.05078125,0.0,0.2611820108131724
0.02085113525390625,63829.407909869136,63827.05078125,0.0,0.29464107739204337
0.02320384979248047,63829.67358757476,63827.05078125,0.0,0.32785079059522104
0.02541518211364746,63829.92321641593,63827.05078125,0.0,0.359054395741623
0.027578115463256836,63830.16729590529,63827.05078125,0.0,0.38956433191106044
0.029740571975708008,63830.411229521626,63827.05078125,0.3,0.41957603395318754
0.03189730644226074,63830.65441880942,63827.05078125,0.51,0.4496386949274299
0.034058332443237305,63830.89798580171,63827.05078125,0.657,0.4798493689639889
0.036200523376464844,63831.13931792666,63827.05078125,0.7599,0.5098512445824643
0.03835320472717285,63831.38171247163,63827.05078125,1.13193,0.5395553147037158
0.040499210357666016,63831.623229147874,63827.05078125,1.3923510000000001,0.5693282256342055
0.04265475273132324,63831.86568520241,63827.05078125,1.5746457,0.5993435609308617
0.04480481147766113,63832.10738368955,63827.05078125,1.7022519899999997,0.62935170176001
0.04694652557373047,63832.347997330224,63827.05078125,2.0915763929999995,0.6588054877991667
0.04908919334411621,63832.588564529964,63827.05078125,2.3641034750999994,0.6884403444353475
0.05120038986206055,63832.825441269,63827.05078125,2.8548724325699997,0.7172647064829247
0.05334782600402832,63833.06621727484,63827.05078125,3.4984107027989997,0.7463320459807241
0.0554804801940918,63833.305162490535,63828.03955078125,4.5488874919593,0.6509232436734542
0.05762791633605957,63833.54558232423,63828.03955078125,6.784221244371509,0.6773991888815123
0.05977916717529297,63833.78623954596,63828.03955078125,10.148954871060056,0.7020977677950149
0.06191277503967285,63834.024728617,63828.03955078125,14.00426840974204,0.7257404000128991
0.0640416145324707,63834.262484835526,63828.03955078125,18.802987886819427,0.7477819761656221
0.06614947319030762,63834.49769446109,63828.03955078125,23.962091520773598,0.7689286135467435
0.06826019287109375,63834.733013914934,63828.03955078125,29.07346406454152,0.7901653492072858
0.07038164138793945,63834.96931165465,63828.03955078125,35.051424845179056,0.8101378294224327
0.0724797248840332,63835.20278550221,63828.03955078125,41.33599739162534,0.8292667442933663
0.07461357116699219,63835.440006484234,63829.0283203125,48.135198174137734,0.7244444543881159
0.07675719261169434,63835.67807122288,63829.0283203125,55.294638721896405,0.742747441842369
0.07901620864868164,63835.92868024419,63829.0283203125,63.606247105327476,0.7607749960930944
0.0813744068145752,63836.18998683731,63829.0283203125,72.42437297372922,0.7793293188429726
0.08352947235107422,63836.42850425205,63829.0283203125,81.29706108161045,0.7949476947131241
0.08568167686462402,63836.666430462334,63830.01708984375,89.9079427571273,0.6873148689115545
0.0878593921661377,63836.906890504986,63830.01708984375,97.4355599299891,0.7053281867665453
0.09003472328186035,63837.14679252916,63830.01708984375,104.20489195099236,0.7244850085544272
0.09220123291015625,63837.385421763895,63831.005859375,111.34342436569466,0.619295819626708
0.09437060356140137,63837.62405910981,63831.005859375,119.04039705598626,0.6368103315617135
0.09655189514160156,63837.8636908772,63831.005859375,127.12827793919037,0.6538236930725849
0.09873056411743164,63838.10271014589,63831.99462890625,134.28979455743325,0.5486464836630358
0.10090088844299316,63838.340484483655,63831.99462890625,141.10285619020328,0.567467377271302
0.10307765007019043,63838.57862666993,63831.99462890625,147.67199933314228,0.58672452152682
0.10520100593566895,63838.810593782684,63832.9833984375,153.7703995331996,0.4823667788948818
0.10736250877380371,63839.04638425416,63832.9833984375,160.1392796732397,0.5016503796050167
0.10951447486877441,63839.280782739224,63832.9833984375,165.7974957712678,0.5218970444815187
0.11167550086975098,63839.51580803687,63833.97216796875,171.25824703988744,0.4189418132513078
0.11389446258544922,63839.756751529654,63833.97216796875,175.9807729279212,0.4415037084283434
0.11609244346618652,63839.99502728015,63834.9609375,181.38654104954483,0.33904275683956325
0.11829519271850586,63840.2334236567,63834.9609375,186.67057873468136,0.36038784361159565
0.12044858932495117,63840.466088259025,63835.94970703125,192.76940511427694,0.25611660528904784
0.12260603904724121,63840.69879672654,63835.94970703125,197.63858357999382,0.2774144781829716
0.12490463256835938,63840.94628768987,63836.9384765625,201.94700850599565,0.17786117731150294
0.12729620933532715,63841.20329783635,63836.9384765625,205.26290595419695,0.20468200970447492
0.12958979606628418,63841.44929731882,63836.9384765625,207.88403416793784,0.231238139870939
0.13185501098632812,63841.691784207236,63837.92724609375,209.7188239175565,0.1350171459176841
0.1341404914855957,63841.93595954108,63837.92724609375,212.20317674228954,0.16156409812843336
0.1364731788635254,63842.184671848176,63838.916015625,214.84222371960266,0.06483446994559072
0.13883566856384277,63842.43603147979,63839.90478515625,216.98955660372184,-0.030777500123623347
0.14115214347839355,63842.681968714525,63839.90478515625,219.0926896226053,-0.0034003586117581364
0.1434495449066162,63842.92535767267,63840.8935546875,220.5648827358237,-0.09892843923111372
0.14560556411743164,63843.15328722141,63840.8935546875,221.59541791507655,-0.07208610192557366
0.14777731895446777,63843.38240230051,63841.88232421875,222.01679254055358,-0.16771710784523103
0.1499333381652832,63843.60937604691,63841.88232421875,222.01175477838748,-0.13933732912561528
0.15209150314331055,63843.83608876799,63842.87109375,222.0082283448712,-0.23458878810326173
