Time,Target_Deg,Actual_Deg,Raw_Pixel
1.5070183277130127,20,19.380716404544227,540.0
3.0073962211608887,0,-0.10443178383850045,346.0
4.5176801681518555,20,19.00814398257686,536.0
6.027861833572388,0,0.20886287380408725,349.0
7.537663459777832,20,19.19464104696219,538.0
9.038850545883179,0,-0.10443178383850045,346.0
10.542529106140137,20,19.380716404544227,540.0
12.04919147491455,0,0.0,347.0
13.553240776062012,20,19.10144507109589,537.0
15.0582914352417,0,-0.10443178383850045,346.0
16.563936471939087,20,19.287731595393115,539.0
18.064453840255737,0,-0.10443178383850045,346.0
19.57425308227539,20,19.380716404544227,540.0
21.074679136276245,0,-0.10443178383850045,346.0
22.58397078514099,20,19.287731595393115,539.0
24.084152460098267,0,0.0,347.0
25.584630489349365,20,18.821227741414546,534.0
27.094495058059692,0,0.0,347.0
28.595542430877686,20,19.287731595393115,539.0
30.09568691253662,0,0.0,347.0
31.595990657806396,20,19.380716404544227,540.0
33.106472969055176,0,-0.10443178383850045,346.0
34.60682249069214,20,19.380716404544227,540.0
36.117226362228394,0,0.0,347.0
37.626625537872314,20,19.10144507109589,537.0
39.127599000930786,0,0.0,347.0
40.636457443237305,20,19.10144507109589,537.0
42.138073205947876,0,0.20886287380408725,349.0
43.6385862827301,20,19.00814398257686,536.0
45.13876509666443,0,0.0,347.0
46.638996601104736,20,19.10144507109589,537.0
48.149171590805054,0,0.0,347.0
49.65901827812195,20,18.914738099128034,535.0
51.15914845466614,0,0.0,347.0
52.6599395275116,20,19.10144507109589,537.0
54.16459560394287,0,0.0,347.0
55.674375772476196,20,18.914738099128034,535.0
57.18455100059509,0,0.0,347.0
58.68501424789429,20,19.287731595393115,539.0
60.19550085067749,0,0.0,347.0
