Time,Target_Deg,Actual_Deg,Raw_Pixel
1.5037322044372559,0,0.0,347.0
1.5610899925231934,0,0.0,347.0
1.6151068210601807,0,0.0,347.0
1.6717545986175537,0,0.0,347.0
1.7250800132751465,0,0.0,347.0
1.7823824882507324,0,0.0,347.0
1.8398427963256836,0,0.0,347.0
1.8936526775360107,0,0.0,347.0
1.951387882232666,0,0.0,347.0
2.00349497795105,0,0.0,347.0
3.5617387294769287,1,1.0442033712572472,357.0
3.6153929233551025,1,1.0442033712572472,357.0
3.6709094047546387,1,1.0442033712572472,357.0
3.725433349609375,1,1.0442033712572472,357.0
3.7823495864868164,1,1.0442033712572472,357.0
3.8403995037078857,1,1.0442033712572472,357.0
3.8939409255981445,1,1.0442033712572472,357.0
3.9509763717651367,1,1.0442033712572472,357.0
4.004473686218262,1,1.0442033712572472,357.0
4.061144828796387,1,1.0442033712572472,357.0
5.625493049621582,2,1.9834134402194472,366.0
5.683216094970703,2,1.9834134402194472,366.0
5.7399537563323975,2,1.9834134402194472,366.0
5.793751239776611,2,1.9834134402194472,366.0
5.849940538406372,2,1.9834134402194472,366.0
5.9036102294921875,2,1.9834134402194472,366.0
5.961761236190796,2,1.9834134402194472,366.0
6.0157470703125,2,1.9834134402194472,366.0
6.071130275726318,2,1.9834134402194472,366.0
6.124836206436157,2,1.9834134402194472,366.0
7.693106174468994,3,3.0257092979825906,376.0
7.750258445739746,3,3.0257092979825906,376.0
7.803298234939575,3,3.0257092979825906,376.0
7.861083745956421,3,2.9215584705141944,375.0
7.9156577587127686,3,3.0257092979825906,376.0
7.971654176712036,3,3.0257092979825906,376.0
8.02509069442749,3,3.0257092979825906,376.0
8.083021402359009,3,3.0257092979825906,376.0
8.13581919670105,3,2.9215584705141944,375.0
8.192635536193848,3,3.0257092979825906,376.0
9.760030031204224,4,4.066004760533332,386.0
9.813897609710693,4,4.066004760533332,386.0
9.871203422546387,4,4.066004760533332,386.0
9.92567753791809,4,4.066004760533332,386.0
9.983480453491211,4,3.9620846208951996,385.0
10.035002946853638,4,4.066004760533332,386.0
10.093002319335938,4,4.066004760533332,386.0
10.150368928909302,4,4.066004760533332,386.0
10.204171657562256,4,4.066004760533332,386.0
10.260666131973267,4,4.066004760533332,386.0
11.82455587387085,5,5.103622110418928,396.0
11.882082223892212,5,5.103622110418928,396.0
11.936028242111206,5,5.103622110418928,396.0
11.992526531219482,5,5.000000000000001,395.0
12.050626754760742,5,5.103622110418928,396.0
12.10266900062561,5,5.103622110418928,396.0
12.160760164260864,5,5.000000000000001,395.0
12.214915990829468,5,5.103622110418928,396.0
12.271283149719238,5,5.103622110418928,396.0
12.325529098510742,5,5.103622110418928,396.0
13.882386684417725,6,6.034636228085966,405.0
13.939479112625122,6,6.034636228085966,405.0
13.99326753616333,6,6.034636228085966,405.0
14.049749374389648,6,6.137894132620001,406.0
14.102894306182861,6,6.137894132620001,406.0
14.160054445266724,6,6.034636228085966,405.0
14.214426040649414,6,6.034636228085966,405.0
14.270981788635254,6,6.034636228085966,405.0
14.32384705543518,6,6.034636228085966,405.0
14.381527662277222,6,6.137894132620001,406.0
15.940408706665039,7,7.168166617004512,416.0
15.991973400115967,7,7.168166617004512,416.0
16.049435138702393,7,7.168166617004512,416.0
16.10291838645935,7,7.168166617004512,416.0
16.15989327430725,7,7.168166617004512,416.0
16.213050842285156,7,7.168166617004512,416.0
16.27113652229309,7,7.168166617004512,416.0
16.324798583984375,7,7.168166617004512,416.0
16.381316900253296,7,7.168166617004512,416.0
16.43926239013672,7,7.168166617004512,416.0
18.003079652786255,8,8.19380073595133,426.0
18.059112310409546,8,8.19380073595133,426.0
18.11361861228943,8,8.19380073595133,426.0
18.171217679977417,8,8.19380073595133,426.0
18.224403381347656,8,8.19380073595133,426.0
18.282015562057495,8,8.19380073595133,426.0
18.339131116867065,8,8.296084957058921,427.0
18.390961170196533,8,8.19380073595133,426.0
18.449854373931885,8,8.19380073595133,426.0
18.50314736366272,8,8.19380073595133,426.0
20.0699143409729,9,9.214175276621829,436.0
20.123796939849854,9,9.214175276621829,436.0
20.181906700134277,9,9.214175276621829,436.0
20.234638929367065,9,9.214175276621829,436.0
20.292396783828735,9,9.214175276621829,436.0
20.34977126121521,9,9.214175276621829,436.0
20.40340495109558,9,9.214175276621829,436.0
20.460262298583984,9,9.214175276621829,436.0
20.513960599899292,9,9.214175276621829,436.0
20.571387767791748,9,9.214175276621829,436.0
22.129576921463013,10,10.329795167671916,447.0
22.1822726726532,10,10.329795167671916,447.0
22.23926854133606,10,10.329795167671916,447.0
22.291765213012695,10,10.329795167671916,447.0
22.351042985916138,10,10.228688709874264,446.0
22.40388774871826,10,10.329795167671916,447.0
22.460102319717407,10,10.329795167671916,447.0
22.515469074249268,10,10.329795167671916,447.0
22.571210384368896,10,10.329795167671916,447.0
22.62449812889099,10,10.329795167671916,447.0
24.191213369369507,11,11.337192416949238,457.0
24.248266458511353,11,11.337192416949238,457.0
24.300987005233765,11,11.337192416949238,457.0
24.3606219291687,11,11.337192416949238,457.0
24.414177179336548,11,11.337192416949238,457.0
24.470271825790405,11,11.337192416949238,457.0
24.524725914001465,11,11.337192416949238,457.0
24.582326889038086,11,11.337192416949238,457.0
24.635525226593018,11,11.337192416949238,457.0
24.69228982925415,11,11.337192416949238,457.0
26.250315189361572,12,12.337537593272527,467.0
26.302266120910645,12,12.337537593272527,467.0
26.36015224456787,12,12.337537593272527,467.0
26.413856744766235,12,12.337537593272527,467.0
26.47064185142517,12,12.337537593272527,467.0
